,Unnamed: 0,Item,Profile
0,0,DISP Cali Boxx 4000 3% Puffs - Frozen Blackberry,Blackberry
1,1,SUB Sadboy Cookie Custard,"Vanilla, Sweet, Rich"
2,2,SALT 7 Daze Fusion Orange Cream Mango,"Orange, Cream, Mango, Salt"
3,3,SALT POD Juice Strawberry Jam,"Strawberry, Jam, Sweet, Fruity"
4,4,SALT ML Jam Monster PB & Banana,none
5,5,SALT Pod Juice PJ5000 Sakura Grape,"The word ""Salt"" is not relevant to describing the flavor profile of the juice"
6,6,SUB 7daze Reds Apple Berries,"Apple, Berries"
7,7,SUB ML Fruit Monster Black Cherry,Cherry
8,8,SALT The Finest Tiramisu Custard,"Sweet, Coffee, Creamy, Tiramisu"
9,9,SALT Pinup Vapors Christie,"Tobacco, Vanilla, Caramel, Sweet"
10,10,DISP Airis NEO P8000 5% - Kiwi Strawberry,"Kiwi, Strawberry"
11,11,SUB Gost Vapor The Pancake House Strawberry,Strawberry
12,12,SUB ML Fruit Monster Mixed Berry,"Raspberry, Blueberry, Blackberry, Strawberry"
13,13,DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Strawberry Kiwi,"Strawberry, Kiwi"
14,14,DISP RAZ CA6000 5% Tobacco,Tobacco
15,15,SUB Country Clouds Strawberry Corn Bread Puddin',"Fruity, Bakery"
16,16,SALT Kaleidoscopic Clouds Sunrise / Sunset,none
17,17,SUB Sadboy Blueberry Jam,Blueberry
18,18,SALT Noms Grapenomenon,"Granite, Sweet, Grape"
19,19,SUB Vgod Cubano,"Tobacco, Sweet, Nutty"
20,20,DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Mango Peach,"Mango, Peach"
21,21,SALT Beard #00 0050,Salt
22,22,SALT Fruitia Jus Blue Raspberry Cotton Candy,"Blue Raspberry, Sweet, Fruity, Cotton Candy, Slightly Salty"
23,23,SUB Fruitia Jus White Grape Ice,"White, Grape, Ice, Sweet"
24,24,SUB Bad Drip Dont Care Bear Iced Out,none
25,25,DISP Lost Mary MO5000 5000 Puffs 4% Sour Gami Mint,"Mint, Sour"
26,26,SALT Noms X2 Kiwi Passion Fruit Nectarine,"Kiwi, Passionfruit, Nectarine, Salt"
27,27,DISP RAZ CA6000 5% Cactus Jack,"Cactus, Jack, Milk, Sweet"
28,28,SUB 7 Daze Fusion Lemon Passionfruit Blueberry,"Lemon, Passionfruit, Blueberry"
29,29,DISP Lost Vape Orion Bar Exotic Edition 5% 7500 Puffs - Euphoria Pudding,"Euphoria, Pudding"
30,30,SUB Sadboy Strawberry Blood Ice,"Sweet, Sour, Bitter, Unique"
31,31,SUB The Finest Tiramisu Custard,"Coffee, Sweet, Creamy"
32,32,SUB VGod Mango Bomb Iced,"The term ""Bomb"" is often used to describe intense or explosive flavors, so it's assumed that this product has a strong mango taste"
33,33,SUB Sadboy Nola Bar Blueberry,Blueberry
34,34,SALT Cloud Chemist Frosty Science Blueberry,Blueberry
35,35,DISP Nicless Next 0% NICOTINE FREE - Cool Mint,"Mint, Cool"
36,36,SUB Chubby Razz Ice,Raspberry
37,37,SALT Killer Fruits By Vapetasia Blue Razz,"Blue Razz, Fruity, Sweet, Sour, Raspberry"
38,38,DISP Tyson 2.0 Heavy Weight 7000 Puffs - Frozen Peach,Peach
39,39,SUB ML Lemonade Monster Blueberry Lemonade,"Lemonade, Blueberry"
40,40,SALT Naked 100 Max Peach Mango Ice,none
41,41,SUB Sadboy Shamrock Cookie,none
42,42,DISP EB Create BC5000 Disposable 0% () - Strawberry Mango,"Strawberry, Mango"
43,43,DISP Lost Mary MO5000 5000 Puffs 4% Iced Peach Colada,"Iced, Peach, Colada"
44,44,SALT Khali Devil's Punchbowl,none
45,45,SUB Nomenon Pear Green Apple Peach,none
46,46,SALT Verdict Vapors Mints Chocomint,"Mint, SALT, Chocomint"
47,47,DISP Yogi Bars 5% 8000 - Blueberry,Blueberry
48,48,SALT Shijin Tortoise Blood on the Rocks,none
49,49,DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Sakura Grape,"Sakura, Grape"
50,50,SUB Suicide Bunny Mother's Milk,"Sweet, Creamy, Rich"
51,51,SALT 7 Daze Reds Apple Strawberry,"Apple, Strawberry, Salt"
52,52,SALT Bluebird Redbird,none
53,53,SUB Halo Tribeca,"Caramel, Tobacco, Vanilla"
54,54,SALT Skwezed R Green Apple,"Apple, Sweet, Tart, Sour, Crisp"
55,55,SALT ML Custard Monster Blackberry,"Sweet, Tart, Rich"
56,56,SALT ML Jam Monster PB & Grape,"Sweet, Salty, Fruity, Nutty"
57,57,SUB Keep It 100 OG Blue,"Berry, Sweet"
58,58,DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Watermelon BG,Watermelon
59,59,SALT Candy King Pink Squares,"Sweet, Candy, Pink, Salt"
60,60,DISP Metaku Spongie 7500 Puffs - Green Apple Ice,"Green Apple, Ice"
61,61,DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Blue Razz Lemon,"Blue, Razz, Lemon"
62,62,DISP Pachamama 3000 Puffs 1200mAh Mango Ice,"Mango, Ice"
63,63,SUB Innevape Heisenberg,"Tobacco, Caramel, Vanilla, Spice"
64,64,SALT ML Jam Monster Grape,SALT is assumed to be a flavor enhancer and not the primary flavor in this context
65,65,SUB Skwezed Watermelon White Grape Ice,"Watermelon, Grape, Ice"
66,66,DISP Lost Mary OS5000 5000 Puffs 5% Juicy Peach,"Peach, Juicy"
67,67,SUB Pachamama Fuji Apple Strawberry,"Apple, Strawberry"
68,68,SALT Lost Art Grape White,"Grape, White, Salt"
69,69,DISP EBCreate BC5000 Thermal Edition 9. 5% Sour Grape Chew,"Sour, Grape"
70,70,DISP EBCreate BC5000 Thermal Edition 9. 5% Blackberry Cherry,"Blackberry, Cherry"
71,71,DISP Lost Vape Orion Bar 5% 7500 Puffs - Raspberry Ice Tea,"Raspberry, Ice, Tea"
72,72,SALT 7 Daze Fusion Strawberry Banana Apple,"Strawberry, Banana, Apple, Salt"
73,73,SALT Sadboy C Pumpkin Cookie,"Taste of sodium chloride, Sadboy"
74,74,DISP Metaku Spongie 7500 Puffs - Strawberry Watermelon Bubblegum,"Strawberry, Watermelon, Bubblegum"
75,75,SUB 7daze Reds Iced Apple Fruit Mix Iced,"Apple, Sweet, Tart"
76,76,SALT Taylor Flavors Pinky Palmer,none
77,77,SALT Naked 100 Max Pineapple Ice,"I cannot taste or smell the product myself, but based on its name and common descriptors for pineapple and ice flavors, this is my best estimation"
78,78,SUB Glas Basix Blueberry Cake,"Blueberry, Cake"
79,79,SUB Air Factory Mint,Mint
80,80,SUB ML Custard Monster Mixed Berry,"Berries, Custard"
81,81,DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Orange Pear Nectar,"Orange, Pear, Nectar"
82,82,DISP KROS 3 Unlimited 3% 6000 Puffs - Tropical Rainbow Twist,"Tropical, Rainbow, Twist"
83,83,SALT ML Frozen Fruit Monster Strawberry Lime Ice,"Strawberry, Lime, Ice, Salt, Monster, Frozen, Fruit"
84,84,DISP Geek Bar Pulse 5% Watermelon Ice,"Watermelon, Ice"
85,85,SALT Naked 100 American Patriot,none
86,86,SUB Cloud Nurdz Watermelon Berry,"Watermelon, Berry"
87,87,SUB Bluebird Redbird,none
88,88,SALT Beard #32 3230,Salt
89,89,DISP Elf VPR 7000 Ultra 7000 Puffs 700mAh 5% Peach Ice,"Peach, Ice"
90,90,SALT ML Custard Monster Butterscotch,"Sweet, Salty, Creamy, Buttery"
91,91,SUB Alt Zero Just Reds,"Raspberry, Cranberry"
92,92,SALT Glas Basix Blue Razz,Raspberry
93,93,SUB 7 Daze Iced Fusion Strawberry Blackberry Lemon Iced,"Strawberry, Blackberry, Lemon"
94,94,SUB Bad Drip Ugly Butter,none
95,95,SALT 7Daze Iced Slapple Iced,"Iced, Sweet, Slightly Sour, Refreshing"
96,96,SUB Shijin Tortoise Blood,none
97,97,SUB The Finest Lychee Dragon,"Lychee, Sweet, Tangy"
98,98,SALT Shijin Tortoise Blood,none
99,99,DISP EBCreate BC5000 9. 5000 Puffs 650mAh 4% Snoow Grape,Grape
100,100,DISP Lost Vape Orion Bar 5% 7500 Puffs - Blueberry Pie,"Blueberry, Pie, Sweet"
101,101,DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Clear,none
102,102,SALT ML The Milk Fruity,"Fruity, Milk, Salt"
103,103,SALT Pinup Vapors Betty,"Sweet, Vanilla, Caramel, Berry"
104,104,SALT Air Factory Tobacco,none
105,105,SUB Cuttwood Bird Brains,The flavor profile of SUB Cuttwood Bird Brains is commonly described as a combination of various fruit flavors with a creamy undertone
106,106,SUB MRKT PLCE Blood Orange Tangoberry,"Blood Orange, Tangbergery"
107,107,SUB Naked 100 Crisp Menthol,"Menthol, Crisp"
108,108,SUB Twist Red No. 1,none
109,109,SUB Cassadega Cannoli Be Graham,none
110,110,DISP Lost Mary OS5000 5000 Puffs 5% Black Mint,"Mint, Black"
111,111,SALT Bluebird Saltybird,Salt
112,112,SALT Glas Basix Butterscotch Reserve,"Butterscotch, Sweet, Caramel"
113,113,DISP RAZ TN9000 5% Grape Ice,none
114,114,SALT Bad Drip Don't Care Bear,none
115,115,SALT ML Jam Monster Raspberry,none
116,116,SALT ML Fruit Monster Blueberry Raspberry Lemon,"Berry, Citrus, Salty"
117,117,SALT ML The Milk Berry Crunch,"Milk, Berry, Crunch, Salt"
118,118,SUB Khali Devil's Punchbowl,"Spicy, Fruity, Complex, Sweet, Heat"
119,119,SUB ML Jam Monster PB & Strawberry,"Peanut, Strawberry, Jam, Monster"
120,120,DISP Elf Bar AIRO MAX 5000 Puffs Peach Ice Tea,"Peach, Ice, Tea"
121,121,SUB Mighty Vapors Hulk Tears,"Spicy, Tobacco, Pungent"
122,122,SUB Pinup Vapors Rita,"Watermelon, Sweet"
123,123,DISP Airis NEO P8000 5% - Mango Peach Ice,"Mango, Peach, Ice"
124,124,DISP Lost Mary MO5000 5000 Puffs 5% Plum Rose Mint,"Plum, Rosy, Mint"
125,125,SALT 7 Daze Iced Fusion Grapefruit Orange Mango Iced,"Grapefruit, Orange, Mango, Salt"
126,126,DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Malibu,none
127,127,DISP SnowWolf Compak 7500puff 5% Double Apple,"Apple, Double, Sweet"
128,128,SUB 7 Daze Iced Fusion Banana Cantaloupe Honeydew Iced,"Banana, Cantaloupe, Honeydew"
129,129,DISP Lost Mary MO5000 5000 Puffs 5% Cherry Lemon,"Cherry, Lemon"
130,130,SALT Sadboy B Strawberry Cheesecake,"Strawberry, Cheesecake, Sweet, Slightly Tangy, Salt"
131,131,DISP Airis NEO P8000 5% - Strawberry Banana,"Strawberry, Banana"
132,132,SALT Verdict Vapors Mints Wintergreen,"Mint, Wintergreen, Salt, Verdict"
133,133,SALT Juice Head Freeze Peach Pear,"Peach, Pear, Freeze, Salt, Juice - Sweet, Cold, Salty"
134,134,SUB Sadboy Mango Blood,"Sweet, Tangy, Sour"
135,135,DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Strawberry Mango,"Strawberry, Mango"
136,136,SUB Skwezed Watermelon White Grape,"Watermelon, Grape"
137,137,SUB Nomenon Tobacco Caramel Vanilla,"Tobacco, Caramel, Vanilla"
138,138,DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Strawberry Watermelon,"Strawberry, Watermelon"
139,139,DISP Pachamama 3000 Puffs 1200mAh Lemon Meringue,"Lemon, Meringue"
140,140,SALT Sadboy F Strawberry Blood,"Strawberry, Blood"
141,141,SUB Propaganda The Hype Blue Frost,"Mint, Cool, Refreshing, Sweet, Blue"
142,142,DISP Airis NEO P8000 5% - Strawberry Cream,"Strawberry, Cream"
143,143,DISP Yaya Go Tobacco Free Nicotine 1600 Puffs By TVL Banana Bread,"Banana, Bread"
144,144,SALT Candy King Gush,"Sweet, Salt, Gush"
145,145,SALT Juice Head R Watermelon Lime,"Watermelon, Lime, Salt, Citrus"
146,146,SUB 7daze Reds Apple Strawberry,"Apple, Strawberry"
147,147,SALT Bad Drip Bad Blood,none
148,148,SALT Bad Drip Farley's Gnarly Sauce,none
149,149,SUB 7daze Reds Iced Apple Peach Iced,"Apple, Peach, Iced"
150,150,SALT Pinup Vapors Rita,none
151,151,SALT Pachamama Icy Mango,"Icy, Mango, Salt, Pachamama - Sweet, Tangy"
152,152,DISP Tyson 2.0 Heavy Weight 7000 Puffs - Strawberry Watermelon,"Strawberry, Watermelon"
153,153,SALT ML Jam Monster Banana,"Banana, Sweet, Slightly Tart, Salt"
154,154,SUB 7 Daze Fusion Kiwi Passionfruit Guava,"Kiwi, Passionfruit, Guava"
155,155,SUB 7 Daze Iced Fusion Strawberry Mango Nectarine Iced,"Strawberry, Mango, Nectarine"
156,156,SALT ML Custard Monster Mixed Berry,"Sweet, Tangy, Fruity"
157,157,DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Beach Day,none
158,158,SUB Keep It 100 OG Summer Blue,"Blueberry, Raspberry, Lemonade"
159,159,SUB Smoke Crossroads Carolina Red,"BBQ, Paprika, Sweet, Spicy"
160,160,SALT ML Custard Monster Vanilla,"Vanilla, Custard"
161,161,SUB Yogi Blueberry Granola Bar,Blueberry
162,162,SALT Pod Juice Hawaiian,"Pineapple, Coconut, Salt"
163,163,DISP Airis NEO P8000 5% - Blue Razz Lemon,"Blue, Razz, Lemon"
164,164,DISP Yogi Bars 5% 8000 - Peanut Butter,Peanut Butter
165,165,DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Strawberry Pear Orange Ice,"Strawberry, Pear, Orange, Ice"
166,166,DISP Lost Mary MO5000 5000 Puffs 5% Watermelon Ice,"Watermelon, Ice"
167,167,SALT Juice Head Freeze Mango Strawberry,"Mango, Strawberry, Sweet, Slightly tart, Refreshing"
168,168,SUB Cloud Chemist Pebble Science,"Fruity, Sweet, Sour, Citrus"
169,169,SALT Khali The Fairmont,Salt
170,170,SALT Vapetasia Killer Kustard Blueberry,"Blueberry, Sweet, Creamy, Killer, Kustard"
171,171,SUB 7daze Reds Iced Apple Strawberry Ice,"Apple, Strawberry"
172,172,SUB Glas Basix Caribbean Punch,"Based on the product name provided and assuming it's related to beverages or flavors, these are the single words that come to mind as describing the flavor profile of ""SUB Glas Basix Caribbean Punch"""
173,173,SALT ML Frozen Fruit Monster Passionfruit Orange Guava Ice,"Tart, Sweet, Passionfruit, Orange, Guava, Ice, Salt"
174,174,SUB Glas Basix Sugar Cookie,"Cookies, Sweet"
175,175,DISP RAZ CA6000 5% Crushed Berries,"Crushed, Berries"
176,176,SALT Brewed Awakening Classic,"Roasted, Malty, Smooth, Slightly Sweet, Biscuity"
177,177,SUB 7daze Reds Iced Apple Watermelon Iced,"Apple, Watermelon"
178,178,SUB ML Custard Monster Vanilla,Vanilla
179,179,SALT Alt Zero Paradox on the Rocks,none
180,180,SUB ML Jam Monster Peach,Peach
181,181,SALT Cloud Chemist Claws,none
182,182,SALT ML Custard Monster Strawberry,"Strawberry, Custard, Monster"
183,183,SALT Glas Basix Carribean Punch,"Pineapple, Orange, Sweet, Tangy, Carribean"
184,184,DISP Geek Bar Pulse 5% Meta Moon,"Tobacco, Smooth, Woody"
185,185,SALT Kaleidoscopic Clouds Sunset / Sunrise,none
186,186,SUB Bad Drip Drooly,"Drooly, Bad"
187,187,SUB Vgod Cubano Black,"Tobacco, Sweet, Nutty, Woody"
188,188,SALT 7 Daze Fusion Watermelon Apple Pear,"Watermelon, Apple, Pear, Salt"
189,189,SALT Pod Juice Fruity Bears Freeze,"Fruity, Bear, Freeze, Sweet, Slightly Salted"
190,190,DISP Lost Mary OS5000 5000 Puffs 5% Mary Dream,"Tobacco, Sweet, Dreamy"
191,191,SALT Skwezed Iced Watermelon White Grape Ice WWG2I5,"Grape, Iced, Sweet, Melon, Refreshing"
192,192,SALT ML Frozen Fruit Monster Mixed Berry Ice,"Berry, Sweet, Frozen, Fruit, Mixed"
193,193,DISP SnowWolf Compak 7500puff 5% Strawberry Kiwi,"Strawberry, Kiwi"
194,194,DISP EBCreate BC5000 Disposable 0% () - Peach Mango Watermelon,"Peach, Mango, Watermelon"
195,195,SUB Twist Pink 0,"Raspberry, Lemonade"
196,196,SALT Sadboy FI Rainbow Blood Ice,"Sweet, Sour, Salty, Tart, Fruity"
197,197,SUB Skwezed Watermelon,Watermelon
198,198,SUB Gost Vapor The Pancake House Caramelized Apple,"Apple, Caramelized, Pancake, Subtly Sweet"
199,199,DISP Lost Mary MO5000 5000 Puffs 5% Grape Cloud,Grape
200,200,SALT Juice Head Freeze Orange Mango,"""Salt"" is assumed to refer to a savory or umami note, but in the context of this product it might also be related to a salted flavor"
201,201,SALT Cloud Chemist Loopy Science,none
202,202,SALT Naked 100 Berry Menthol,"Berry, Menthol, Salt"
203,203,DISP Nicless Next 0% NICOTINE FREE - Spearmint,"Mint, Spearmint"
204,204,SALT Fruitia Jus Apple Bourbon Tobacco,"Apple, Salt, Fruitia, Jus, Bourbon, Tobacco"
205,205,DISP EBCreate BC5000 Disposable 0% () - Tropical Rainbow Blast,"Tropical, Rainbow, Blast"
206,206,DISP Lost Mary MO5000 5000 Puffs 5% Blueberry Raspberry Lemon,"Blueberry, Raspberry, Lemon"
207,207,SUB Juice Head F Watermelon Lime FREEZE,"Watermelon, Lime"
208,208,SUB 7 Daze Iced Fusion Watermelon Apple Pear Iced,"Watermelon, Apple, Pear"
209,209,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Blue Razz Lemonade,"Blue Razz, Lemonade"
210,210,DISP Tyson 2.0 Heavy Weight 7000 Puffs - Frozen Grape,Grape
211,211,DISP Nicless Next 0% NICOTINE FREE - Cherry Lemonade,"Cherry, Lemonade"
212,212,SUB Juice Head F Pineapple Guava FREEZE,"Pineapple, Guava, Freeze"
213,213,DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Cuba Cigar,none
214,214,SUB Nomenon Phenomenon,"Berry, Sweet, Tangy, Fruity"
215,215,DISP RAZ TN9000 5% Cactus Jack,"Cactus, Jack, Milk, Sweet"
216,216,SUB ML The Milk Fruity,"Milk, Fruity"
217,217,SALT Naked 100 Euro Gold,none
218,218,DISP Lost Mary OS5000 5000 Puffs 5% Forest Mint,"Forest, Mint"
219,219,DISP RAZ TN9000 5% Apple Cinnamon,"Apple, Cinnamon"
220,220,DISP Tyson 2.0 Heavy Weight 7000 Puffs - Grape Razz,"Grape, Razz"
221,221,SALT Fruitia Pineapple Citrus,"Pineapple, Citrus, Salt"
222,222,DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Blue Razz Ice,"Blue Razz, Ice"
223,223,SALT VGod Apple Bomb,"Apple, Sweet, Caramel, Tobacco, Sugar"
224,224,DISP E.B Design BC5000 Disposable 0% () - Miami Mint,"Miami, Mint"
225,225,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Watermelon Mango,"Watermelon, Mango"
226,226,DISP Airis NEO P8000 5% - Cool Mint,"Mint, Cool"
227,227,SALT Yogi Original,none
228,228,SUB Keep It 100 Maui Blast,"Pineapple, Mango, Citrus"
229,229,SUB Sadboy Happy End Blue Cotton Candy,none
230,230,DISP Tyson 2.0 Heavy Weight 7000 Puffs - Peach Watermelon,"Peach, Watermelon"
231,231,SUB VGod Berry Bomb Iced,"Berry, Sweet, Tangy"
232,232,DISP KROS 3 Unlimited 5% 6000 Puffs - Watermelon Bubblegum,"Watermelon, Bubblegum"
233,233,SUB Taylor Snickerdoodle Crunch,"Cinnamon, Sweet, Cookie"
234,234,SUB Twist Purple Grape,Grape
235,235,SALT 7 Daze Iced Fusion Watermelon Apple Pear Iced,"Watermelon, Apple, Pear, Melon, Sweet"
236,236,DISP Metaku Spongie 7500 Puffs - Blue Razz Ice,"Blue Razz, Ice, Sweet, Fruity, Cool"
237,237,SALT Twist Mint 0,"Mint, Salt"
238,238,DISP Lost Vape Orion Bar 5% 7500 Puffs - Banana Cake,"Banana, Cake"
239,239,DISP Tyson 2.0 Heavy Weight 7000 Puffs - Passion Pom,"Passion, Pom"
240,240,SUB Cassadega Cannoli Be Nuts,"Nuts, Cassadega, Cannoli"
241,241,SALT Twist Pink No.1,none
242,242,SUB 7 Daze Fusion Pineapple Mango Orange,"Pineapple, Mango, Orange"
243,243,SUB Juice Head F Guava Peach FREEZE,"Guava, Peach, Freeze"
244,244,DISP SnowWolf Compak 7500puff 5% Grape Ice,"Grape, Ice"
245,245,SALT Pod Juice Jewel Mint,"Mint, Fresh, Cool, Refreshing"
246,246,DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Tropical Rainbow Blast,"Tropical, Rainbow, Blast"
247,247,SUB Glas Basix Pound Cake,"Vanilla, Sweet, Buttery"
248,248,SALT Noms X2 Cherry Lime Ginger,"Cherry, Lime, Ginger, Salt"
249,249,SALT 7 Daze Reds Iced Apple Fruit Mix Iced,"Apple, Sweet, Slightly Tart"
250,250,SUB Verdict Vapors Mints Peppermint,"Mint, Peppermint"
251,251,DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Tropical Rainbow Blast,"Tropical, Rainbow, Blast"
252,252,SALT Cloud Nurdz Watermelon Apple,none
253,253,SALT ML Lemonade Monster Pink Lemonade,"Lemonade, Sweet, Tangy, Sour, Salt"
254,254,SUB Cuttwood Mega Melons,"Melon, Sweet, Juicy"
255,255,DISP Lost Mary MO5000 5000 Puffs 5% Pineapple Apple Pear,"Pineapple, Apple, Pear"
256,256,DISP Tyson 2.0 Heavy Weight 7000 Puffs - Tobacco,"Tobacco, Smoky, Rich, Earthy"
257,257,SALT Pod Juice Pod Energy Freeze,"Mint, Frozen, Cool, Refreshing"
258,258,SUB Twist Banana Amber,"Banana, Amber"
259,259,DISP Lost Mary OS5000 5000 Puffs 5% Watermelon Lemon,"Watermelon, Lemon"
260,260,SALT Air Factory Menthol,"Menthol, Cool, Frosty, Ice"
261,261,DISP Tyson 2.0 Heavy Weight 7000 Puffs - Cherry Berry,"Cherry, Berry"
262,262,SALT Cuttwood Mega Melons,"Melons, Sweet, Cantaloupe, Watermelon, Mellow, Refreshing"
263,263,SUB Juice Head R Peach Pear,"Peach, Pear"
264,264,SUB Dinner Lady Bubble Gum,Bubblegum
265,265,SALT ML Custard Monster Gingerbread,"Sweet, Spicy, Rich, Bready"
266,266,SUB Alt Zero Excision Robokitty Cream,"Sweet, Creamy"
267,267,SUB ML Jam Monster Strawberry,Strawberry
268,268,SUB Verdict Vapors Mints Wintergreen,"Mint, Wintergreen"
269,269,SALT 7 Daze Iced Fusion Lemon Passionfruit Blueberry Iced,"Lemon, Passionfruit, Blueberry"
270,270,DISP Lost Mary OS5000 5000 Puffs 5% Mad Blue,none
271,271,DISP RAZ CA6000 5% Peach Pear,"Peach, Pear"
272,272,SALT Chubby Vapes Purp,"Purple, Sweet, Slightly Sour, Smooth, Subtle, Fruity, Berry, Rich"
273,273,SALT MRKT PLCE Blood Orange Tangoberry,"Blood Orange, Tangerine, Salt"
274,274,SUB Fruitia Jus Rainbow Ice,"Raspberry, Blueberry, Strawberry, Lemon, Grape"
275,275,SALT Fruitia Sweet Peach,"Peach, Sweet, Fruitia, Salt"
276,276,DISP MINT by MNKE Bars 6500 Puffs 5% Cucumber Mint,"Cucumber, Mint"
277,277,SALT Skwezed Iced Lychee Ice,The description provided is based on general consumer feedback and individual taste preferences may vary
278,278,SALT VGod Cubano Silver,"Tobacco, Woody, Spicy, Nutty"
279,279,SALT Skwezed Iced Green Apple Ice,"Apple, Sweet, Tart, Sour, Green, Ice, Salt"
280,280,SUB 7daze Reds Apple Grape,"Apple, Grape"
281,281,DISP EBCreate BC5000 9. 5000 Puffs 650mAh 4% Strawlemon Ice,"Strawberry, Lemony, Ice"
282,282,SALT Vapetasia Killer Kustard Strawberry,"Sweet, Strawberry"
283,283,SUB Cassadega Cannoli Be Mine,"Cannoli, Sweet, Nutty"
284,284,SALT Juice Head Freeze Pineapple Grapefruit,none
285,285,SALT Fruitia Blood Orange Cactus,"Orange, Salt, Cactus"
286,286,DISP UWell Caliburn Bar B6000 5% Cool Mint,Mint
287,287,SUB 7 Daze Iced Fusion Grapefruit Orange Mango Iced,"Grapefruit, Orange, Mango"
288,288,SALT Sadboy Nola Bar Berry,"Berry, Salt"
289,289,SALT 7 Daze Reds Apple Berries,"The single word ""Reds"" could be considered a color instead of a flavor, but it is often used to describe the category of certain fruit flavors, so I included it in this response"
290,290,SUB Verdict Vapors Mints Spearmint,"Mint, Spearmint"
291,291,SUB VGod Apple Bomb Iced,"Apple, Bomb, Iced, Sweet"
292,292,SALT Cassadega Cannoli Be One,none
293,293,DISP Yogi Bars 5% 8000 - Original,"Honey, Almond, Sesame, Cocoa"
294,294,DISP Lost Vape Orion Bar 5% 7500 Puffs - Orange Ice,"Orange, Ice"
295,295,SUB VGod Mango Bomb,"Mango, Sweet, Intense"
296,296,DISP Lost Mary OS5000 5000 Puffs 5% Cranberry Soda,"Cranberry, Soda"
297,297,SALT Juice Head R Peach Pear,"I assume ""R"" stands for raspberry since it's commonly associated with that letter in flavored product names"
298,298,SUB Tobacco Monster,"Tobacco, Sweet, Rich, Smoky"
