,Unnamed: 0,Item,Profile
299,299,DISP Metaku Spongie 7500 Puffs - Cherry Strawberry Raspberry,"Cherry, Strawberry, Raspberry"
300,300,DISP Yogi Bars 5% 8000 - Apple Cinnamon,"Apple, Cinnamon"
301,301,SUB 7 Daze Fusion Grape Apple Aloe,"Grape, Apple, Aloe"
302,302,SUB Pachamama The Mint Leaf,Mint
303,303,DISP MINT by MNKE Bars 6500 Puffs 5% Strawberry Mint,"Mint, Strawberry"
304,304,SUB ML Lemonade Monster Watermelon Lemonade,"Citrus, Sweet, Energy"
305,305,SUB Bad Drip Farleys Gnarley,none
306,306,SALT Taylor Flavors - Cool Menthol,"Menthol, Cool"
307,307,DISP RAZ TN9000 5% Dragon Fruit Lemonade,"Dragon Fruit, Lemonade"
308,308,SALT Naked 100 Melon Menthol,"Melon, Menthol, Salt"
309,309,SUB Mod Milk Strawberry Milky Goodness,"Strawberry, Milky, Goodness"
310,310,DISP Geek Bar Pulse 5% Pink Lemonade,"Sweet, Tart, Citrus, Lemonade"
311,311,SUB ML Lemonade Monster Mango Lemonade,"The word ""Monster"" does not provide any specific flavor information in this context"
312,312,DISP EBCreate BC5000 Thermal Edition 9. 5% Cherry Dragonfruit,"Cherry, Dragonfruit"
313,313,DISP Tyson 2.0 Heavy Weight 7000 Puffs - Frozen Banana,Banana
314,314,SALT Mighty Vapors Hulk Tears,none
315,315,SUB Fruitia Jus Apple Bourbon Tobacco,"Apple, Bourbon, Tobacco, Fruit"
316,316,SUB Keep It 100 OG Blue Ice,"Mint, Blueberry, Sweet"
317,317,SUB ML Jam Monster Blueberry,Blueberry
318,318,SUB Nomenon Caramel Butterscotch Classic,"Caramel, Butterscotch"
319,319,DISP RAZ TN9000 5% Blueberry Watermelon,"Blueberry, Watermelon"
320,320,DISP Metaku Spongie 7500 Puffs - Watermelon Ice,"Watermelon, Ice"
321,321,SALT Cloud Nurdz Blue Raspberry Lemon,"Sweet, Sour, Salty"
322,322,SUB Bad Drip God Nectar Iced Out,none
323,323,SALT Juice Head Freeze Pineapple Guava,"Pineapple, Guava, SALT, Freeze, Sweet, Refreshing"
324,324,SALT Cloud Chemist The Final Experiment,I'm unable to describe the flavor profile of SALT Cloud Chemist The Final Experiment as I don't have that specific product information
325,325,SUB Pachamama Blood Orange Banana Gooseberry,"Oranges, Bananas, Gooseberries"
326,326,DISP RAZ CA6000 5% Fuji Blue Raz,"Raspberry, Blue"
327,327,SALT 7 Daze Iced Fusion Orange Yuzu Tangerine Iced,"Orange, Yuzu, Tangerine, Salt"
328,328,DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Watermelon Cantaloupe Honeydew,"Watermelon, Cantaloupe, Honeydew"
329,329,SALT ML Lemonade Monster Watermelon Lemonade,"Lemonade, Sweet, Refreshing, Citrus"
330,330,SUB ML Frozen Fruit Monster Strawberry Kiwi Pomegranate Ice,"Strawberry, Kiwi, Pomegranate"
331,331,SUB Nomenon Free Noms Green Apple Strawberry Peach Ice,"Apple, Strawberry, Peach, Ice"
332,332,DISP Lost Vape Orion Bar 5% 7500 Puffs - Rainbow Drop,"Sweet, Sour, Fruity, Rainbow"
333,333,DISP RAZ TN9000 5% Blue Raz Ice,"Blue Rasberry, Ice, Sweet"
334,334,SALT ML Jam Monster PB & Strawberry,"Sweet, Fruity, Peanutty, Salty"
335,335,SALT Naked 100 Max White Guava Ice,"Guava, Ice, Sweet, White"
336,336,SALT Pachamama Cherry Limeade,"Cherry, Lime, Salt"
337,337,SUB 7 Daze Fusion Raspberry Green Apple Watermelon,"Raspberry, Green Apple, Watermelon"
338,338,SUB Cloud Chemist Loopy Science,"Fruity, Sweet, Sour, Tangy, Bubblegum"
339,339,SUB Fruitia Banana Ice,"Banana, Sweet"
340,340,SUB Halo Fusion,"Mint, Melon, Fruit, Cool"
341,341,SUB Sadboy Strawberry Blood,"Sweet, Fruity, Tart"
342,342,SUB Bad Drip Farleys Gnarley Iced Out,none
343,343,SUB Beard Vape Co. #00 000,"Tobacco, Sweet, Woody, Smooth"
344,344,SUB Verdict Vapors Convict - Strawberry Milk,"Strawberry, Milk"
345,345,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Strawberry Banana,"Strawberry, Banana"
346,346,SALT Sadboy Nola Bar Strawberry,"Strawberry, Sweet, Slightly Salted"
347,347,SUB Lost Art Grape White,The above description is based on common characteristics often associated with grape-flavored beverages or foods
348,348,SALT Skwezed Iced Watermelon Ice,"Watermelon, Sweet, Iced, Melon, Slightly-Salted"
349,349,SUB Fruitia Extra Ice Apple Kiwi,"Apple, Kiwi"
350,350,SUB Twist Blend No. 1,"Vanilla, Caramel, Tobacco, Sweet"
351,351,SALT Skwezed Iced Watermelon White Grape Ice WWG5I0,"Watermelon, Grape, Iced, Sweet"
352,352,SALT MRKT PLCE Fuji Pear Mangoberry,"Pear, Mangoberry, Salt, Market Place"
353,353,DISP Lost Mary MO5000 5000 Puffs 4% Colombian Coffee Ice,none
354,354,SUB Sadboy Nola Bar Strawberry,Strawberry
355,355,SUB Juice Head R Watermelon Lime,"Watermelon, Lime"
356,356,SUB 7 Daze Fusion Strawberry Banana Apple,"Strawberry, Banana, Apple"
357,357,SUB Fruitia Apple Kiwi,"Apple, Kiwi"
358,358,SALT Bad Drip Cereal Trip,"Sodium, often used for enhancing or preserving flavors"
359,359,DISP Airis NEO P8000 5% - Strawberry Watermelon,"Strawberry, Watermelon"
360,360,DISP Tyson 2.0 Heavy Weight 7000 Puffs - Apple Gummies,"Apple, Sweet, Tangy"
361,361,SUB Vapetasia Milk of the Poppy,The exact flavor profile may vary from person to person as perception of taste can be subjective
362,362,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Lush Ice,none
363,363,SUB Air Factory Tobacco,"Tobacco, Nutty, Sweet, Woody"
364,364,SALT Cuttwood Sugar Drizzle,"Salt, Sweet"
365,365,SUB 7 Daze Iced Fusion Orange Yuzu Tangerine Iced,"Orange, Yuzu, Tangerine"
366,366,SALT ML Fruit Monster Mixed Berry,"Raspberry, Blueberry, Strawberry, Blackberry"
367,367,SALT Propaganda Cookie Butter,"Sweet, Salted, Buttery"
368,368,SUB Sadboy Mango Blood Ice,none
369,369,SUB Cloud Chemist Frosty Science Strawberry,Strawberry
370,370,SUB Fruitia Sweet Peach,"Peach, Sweet"
371,371,DISP Elf Bar AIRO MAX 5000 Puffs Banana Pineapple,"Banana, Pineapple"
372,372,SUB Beard Vape Co. Apple Cinnamon The One,"Apple, Cinnamon"
373,373,SALT ML The Milk Jax,"Milk, Salt"
374,374,SALT Cuttwood Unicorn Milk,"Sweet, Creamy, Vanilla, Milk, Custard"
375,375,SUB 7daze Glacial Mint,Mint
376,376,SUB 7 Daze Fusion Watermelon Apple Pear,"Watermelon, Apple, Pear"
377,377,SUB Country Clouds Corn Bread Puddin',"The term ""Country Clouds"" is not recognized as a specific product or brand, so I assumed it was not relevant to the flavor profile description"
378,378,SUB Pachamama Mint Leaf SYN,Mint
379,379,SUB VGod Apple Bomb,"Apple, Sweet, Tart, Crisp"
380,380,SALT Noms X2 Cactus Jackfruit Mandarine,This is based on the assumption that SALT Noms X2 Cactus Jackfruit Mandarine refers to a food or beverage product and each mentioned component contributes distinctly
381,381,SUB 7daze Reds Apple Watermelon,"Apple, Watermelon"
382,382,SALT Juice Head Freeze Blueberry Lemon,"sweet, tart, rich
Lemon"
383,383,DISP EBCreate BC5000 9. 5000 Puffs 650mAh 4% Strawberry Banana,"Strawberry, Banana"
384,384,DISP EBCreate BC5000 Disposable 0% () - Watermelon Ice,"Watermelon, Ice"
385,385,SALT ML Frozen Fruit Monster Blueberry Raspberry Lemon Ice,"Blueberry, Raspberry, Lemon, Ice, Salt, Monster, Frozen, Fruit - Tart, Sweet, Sour, Salty"
386,386,DISP EBCreate BC5000 Disposable 0% () - Rinbo Cloud,none
387,387,DISP Lost Mary OS5000 5000 Puffs 5% Strawberry Mango,"Strawberry, Mango"
388,388,SALT Mighty Vapors Frozen Hulk Tears,none
389,389,SUB Cloud Nurdz Grape Apple,"Grape, Apple"
390,390,SALT Naked 100 Hawaiian POG,"Pineapple, Orange, Guava, Sweet"
391,391,SALT Cloud Chemist The Alchemist,none
392,392,SALT 7 Daze Reds Iced Apple Watermelon Iced,"Apple, Watermelon, Iced, Salt, Reds"
393,393,DISP UWell Caliburn Bar B6000 5% Dragon Fruit Berry,"Dragon Fruit, Berry"
394,394,DISP Airis NEO P8000 5% - Pina Colada Ice,"Coconut, Pineapple, Sweet"
395,395,DISP Airis NEO P8000 5% - Watermelon Bubble Gum,"Watermelon, Bubble Gum"
396,396,SALT Cassadega Cannoli Be Mine,"Sweet, Ricotta, Cassis, Vanilla"
397,397,SUB 7 Daze Fusion Pineapple Coconut Banana,"Pineapple, Coconut, Banana"
398,398,SUB Nomenon Watanomenon,none
399,399,SUB Noms Blunomenom Ice,"Flower, Sweet, Refreshing"
400,400,SALT Pachamama Apple Tobacco,"Apple, Salt, Tobacco"
401,401,SUB Free Noms Caramel Butterscotch Classic,"Caramel, Butterscotch, Classic"
402,402,SUB Twist Tobacco Gold No. 1,Tobacco
403,403,SALT Naked 100 Max Apple Ice,"Apple, Ice, Sweet, Slightly tart, Naked"
404,404,SALT VGod Iced Apple Bomb,"Apple, Sweet, Slightly Tart"
405,405,SALT Juice Head R Blueberry Lemon,"Blueberry, Lemon, Salt, Raspberry"
406,406,SALT Naked 100 Mint Menthol,"Mint, Menthol, Cool"
407,407,SUB Kaleidoscopic Sunrise / Sunset,none
408,408,SALT Verdict Vapors Convict - Strawberry Milk,"Sweet, Strawberry, Milky, Creamy"
409,409,SUB Verdict Vapors Warden - Hazelnut Pecan Butter,"Hazelnut, Pecan, Butter"
410,410,SUB Beard Vape Co. Strawberry The One,"Strawberry, Sweet"
411,411,SALT Vapetasia Milk of the Poppy,"Milk, Poppy, Sweet, Creamy"
412,412,SALT Dinner Lady Lemon Tart,"Lemon, Tart, Sweet, Sour, Citrus"
413,413,DISP Lost Mary MO5000 5000 Puffs 5% Blue Trio,"Based on the product name ""Blue Trio"" and assuming that ""Blue"" refers to a flavor, I assumed the other two flavors in the trio to be Mint and Sweet based on common vape flavors"
414,414,SALT 7 Daze Reds Apple Fruit Mix,"Apple, Fruit, Sweet, Slightly Tart, SALT"
415,415,SALT Candy King Peachy Rings,"Peach, Sweet, Fruity, Sugar, Salt"
416,416,DISP Lost Mary MO5000 5000 Puffs 5% Triple Berry Ice,"Berry, Ice, Triple, Fruity"
417,417,SUB Cuttwood Unicorn Milk,"Creamy, Sweet, Vanilla"
418,418,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Clear,none
419,419,SALT 7 Daze Fusion Yellow Green Red Mango,"Mango, Sweet, Tangy"
420,420,SUB 7 Daze Fusion Yellow Green Red Mango,"Mango, Yellow, Green, Red"
421,421,SUB Dinner Lady Lemon Tart,"Lemon, Tart, Citrus"
422,422,SALT 7 Daze Reds Apple Gold Kiwi Iced,"Apple, Reds, Kiwi, Iced, Salt"
423,423,SUB MRKT PLCE Fuji Pear Mangoberry,"Pear, Mangoberry"
424,424,DISP Tyson 2.0 Heavy Weight 7000 Puffs - Frozen Blueberry,Blueberry
425,425,DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Cranberry Punch,"Cranberry, Punch"
426,426,SALT Glas Basix Blueberry Cake,"Blueberry, Cake, Sweet"
427,427,SALT Cassadega Cannoli Be Graham,"Sweet, Graham, Cassis"
428,428,DISP EBCreate BC5000 0% () - Blue Razz Ice,"Blue Razz, Ice"
429,429,SUB ML Frozen Fruit Monster Strawberry Banana Ice,"Strawberry, Banana"
430,430,DISP Nicless Next 0% NICOTINE FREE - Blue Razz Lemonade,"Blue Razz, Lemonade"
431,431,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Menthol,Menthol
432,432,SALT Innevape Carousel,Salt
433,433,SUB Cloud Nurdz Blue Raspberry Lemon,none
434,434,SUB ML Lemonade Monster Mint Lemonade,"Lemonade, Mint"
435,435,SALT Skwezed Iced Peach Ice,"Peach, Sweet, Iced, Slightly Salty"
436,436,SALT Pod Juice Cola Freeze,none
437,437,SUB 7 Daze Iced Fusion Kiwi Passionfruit Guava Iced,"Kiwi, Passionfruit, Guava"
438,438,SUB Cloud Chemist Claws,none
439,439,SALT 7 Daze Fusion Lemon Passionfruit Blueberry,"Lemon, Passionfruit, Blueberry, Salt"
440,440,SUB Noms X2 White Peach Raspberry,"Peach, Raspberry"
441,441,SALT Cuttwood Bird Brains,none
442,442,SUB ML Lemonade Monster Strawberry Lemonade,"Lemonade, Strawberry"
443,443,SUB Chubby Vapes Purp,"Purple, Sweet, Fruity"
444,444,SUB 7daze Glacial Mint 100m,"Mint, Glacial"
445,445,SALT Candy King Worms,"Sweet, Salt, Caramel, Chocolate"
446,446,SALT ML Lemonade Monster Strawberry Lemonade,"Sodium, Lemon, Lemonade, Monster, Strawberry, Sweet"
447,447,SALT Pachamama Blue Razz Ice,"Blue Razz, Sweet, Raspberry, Ice, Mint, Cool"
448,448,SALT VGod Summer Strawberry,"Strawberry, Sweet, Slightly tart"
449,449,SUB Bad Drip Cereal Trip,none
450,450,DISP EBCreate BC5000 9. 5000 Puffs 650mAh 4% Lemon Mint,"Lemon, Mint"
451,451,SALT Cloud Chemist Pebble Science,none
452,452,SALT Kaleidoscopic Clouds Optical Illusion,none
453,453,DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Rainbow Candy,"Sweet, Sour, Tangy, Rainbow, Candy"
454,454,SALT 7 Daze Glacial Mint,"Mint, Cool, Refreshing, Tingling, Ice, Minty"
455,455,SALT VGod Iced Mango Bomb,"Mango, Sweet, Slightly Tart"
456,456,SUB Candy King Batch 100 ML,"Sweet, Fruity, Apple, Caramel"
457,457,SUB Pinup Vapors Beach Betty,"Coconut, Pineapple, Vanilla"
458,458,DISP Tyson 2.0 Heavy Weight 7000 Puffs - Melon Head,Melon
459,459,SUB Gost Vapor The Pancake House Blueberry,Blueberry
460,460,SUB Gost Vapor The Pancake House Golden Maple,"Maple, Pancake, Sweet"
461,461,DISP Airis NEO P8000 5% - Blueberry Ice,"Blueberry, Ice, Sweet"
462,462,SUB ML Jam Monster Banana,Banana
463,463,SALT Fruitia Apple Kiwi,"Apple, Kiwi, Salt"
464,464,SUB Suicide Bunny Sucker Punch,This is based on the common flavor descriptions for Suicide Bunny Sucker Punch e-liquid
465,465,SALT Pod Juice Strawberry Banana,"Strawberry, Banana, Salt"
466,466,SUB 7daze Reds Apple Gold Kiwi Iced,"Apple, Kiwi, Reds, Iced"
467,467,SUB Beard Vape Co. #00 006,"Tobacco, Sweet, Woody"
468,468,DISP Lost Mary MO5000 5000 Puffs 5% Raspberry Lemonade,"Raspberry, Lemonade"
469,469,SALT Glas Basix Brown Tobacco,Tobacco
470,470,DISP Lost Vape Orion Bar 5% 7500 Puffs - Dragon Fruit Berry,"Dragon Fruit, Berry"
471,471,SUB Fruitia Jus Blue Raspberry Cotton Candy,"Sweet, Fruity"
472,472,SUB Steam Co. Gentleman's Reserve,"Tobacco, Sweet, Smooth, Nutty"
473,473,DISP Lost Mary OS5000 5000 Puffs 5% Pineapple Mango,"Pineapple, Mango"
474,474,SALT 7 Daze Iced Fusion Strawberry Mango Nectarine Iced,"Strawberry, Mango, Nectarine, Salt"
475,475,SUB Nomenon Watanomenon ICE,"Minty, Refreshing, Cool"
476,476,SALT ML Frozen Fruit Monster Mango Peach Guava Ice,"Sweet, Tangy, Mango, Peach, Guava"
477,477,SUB 7Daze Reds Slapple,"Berry, Sweet, Citrus, Tangy"
478,478,SUB Sadboy Coconut Cake,Coconut
479,479,DISP EBCreate BC5000 9. 5000 Puffs 650mAh 4% Blue Razz Ice,"Blue Razz, Ice"
480,480,SALT 7Daze Slapple,Salt
481,481,SUB Propaganda The Hype Pink and Blue,none
482,482,SALT Naked 100 Max Strawberry Ice,"Strawberry, Ice, Sweet, Fruity"
483,483,DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Passion Fruit Orange Guava,"Passionfruit, Orange, Guava"
484,484,SUB Mighty Vapors Frozen Hulk Tears Frozen Green Apple Straw-Melon Chew,"Apple, Green, Straw-Melon, Frozen, Hulk, Tears, Mighty, Vapors"
485,485,SALT VGod Lush Ice Eliquids,"Ice, Menthol, Sweet, Sour, Blueberry"
486,486,SUB Glas Basix Juicy OFT Sweet & Refreshing,"Juicy, OFT, Sweet, Refreshing"
487,487,SUB Beard Vape Co. Marshmellow The One,"Marshmallow, Sweet"
488,488,DISP EB Design BC5000 9. 5000 Puffs 650mAh 4% Peach Mango Watermelon,"Peach, Mango, Watermelon"
489,489,SALT ML Tobacco Monster Smooth,"The words ""Salt"" and ""ML"" are often used to describe a specific type of vape flavor profile, which is characterized by a strong salty taste and a relatively mild, milky sweetness"
490,490,DISP EBCreate BC5000 9. 5000 Puffs 650mAh 4% Strawberry Kiwi,"Strawberry, Kiwi"
491,491,SALT Pod Juice Aloe Grape Freeze,none
492,492,SUB Juice Head F Pineapple GrapeFruit FREEZE,"The word ""Freeze"" is assumed to indicate a cold or frozen flavor profile"
493,493,SALT Chubby Vapes Strawberry,"Strawberry, Sweet, Fruity"
494,494,SUB ML Jam Monster Raspberry,Raspberry
495,495,SUB Noms 100 Nom Pop,"Sweet, Butter, Popcorn"
496,496,SALT Skwezed R Watermelon,"Watermelon, Sweet, Refreshing"
497,497,SALT VGod Cubano Black,"Tobacco, Sweet, Spicy, Woody"
498,498,SUB Juice Head R Strawberry Kiwi,"Strawberry, Kiwi"
499,499,SALT Pachamama Sorbet,none
500,500,SUB Nomenon Grapenomenon ICE,Grape
501,501,SUB 7 Daze Fusion Strawberry Mango Nectarine,"Strawberry, Mango, Nectarine"
502,502,SUB Pachamama Peach Papaya Coconut,"Peach, Papaya, Coconut"
503,503,DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Strawberry Pina Colada,"Strawberry, Pina Colada"
504,504,DISP Elf Bar AIRO MAX 5000 Puffs Berry Blast,"Berry, Blast"
505,505,DISP Metaku Spongie 7500 Puffs - Cherry Lemon,"Cherry, Lemon"
506,506,SUB Innevape Carousel,"Fruity, Sweet, Apple, Cinnamon"
507,507,DISP Lost Vape Orion Bar Exotic Edition 5% 7500 Puffs - Cafe Mocha,"Coffee, Chocolate"
508,508,SALT 7 Daze Iced Fusion Kiwi Passionfruit Guava Iced,"Kiwi, Passionfruit, Guava, Iced, Salt"
509,509,DISP Cali Boxx 4000 3% Puffs - Blue Raspberry Kiwi Lemonade,"Blue Raspberry, Kiwi, Lemonade"
510,510,SUB Pinup Vapors Betty,"Strawberry, Vanilla, Custard"
511,511,SUB Beard Vape Co. #00 003,"Tobacco, Vanilla, Maple, Woody"
512,512,SALT 7 Daze Reds Iced Apple Original Iced,"Apple, Sweet, Slightly Tart"
513,513,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Pink Lemonade,"Citrus, Sweet, Tangy, Lemonade"
514,514,SUB Noms X2 Cactus Jackfruit Mandarin,"Cactus, Jackfruit, Mandarin"
515,515,SUB Pop Clouds Watermelon,Watermelon
516,516,SUB Vapetasia Killer Kustard Strawberry,The words used here are subjective and may not accurately represent the flavor profile experienced by everyone due to individual taste preferences
517,517,SALT 7 Daze Iced Fusion Pineapple Coconut Banana Iced,"Pineapple, Coconut, Banana, Salt"
518,518,SALT ML Jam Monster Peach,"Sweet, Peach, Salt"
519,519,SUB Yogi Peanut Butter Banana Granola Bar,Sweet
520,520,SUB 7daze Reds Iced Apple Original Iced,Apple
521,521,SALT ML Jam Monster Black Cherry,"Cherry, Sweet, Slightly Tart, Intense"
522,522,SALT Sadboy Happy End Pink,"Savory or umami taste
Sadboy"
523,523,SALT 7 Daze Fusion Pineapple Coconut Banana,"Pineapple, Coconut, Banana, Salt"
524,524,SUB Yogi Strawberry Granola Bar,Strawberry
525,525,SALT Pinup Vapors Betty Chill,"Menthol, Sweet, Berry, Chill"
526,526,DISP Lost Mary MO5000 5000 Puffs 5% Lemon Sparkling Wine,"Lemon, Sparkling, Wine"
527,527,DISP Lost Mary MO5000 5000 Puffs 5% Yummy,Yummy
528,528,SALT Twist Blend No.1,Salt
529,529,DISP Cali Boxx 4000 3% Puffs - Mighty Mint,Mint
530,530,SALT Pachamama Kiwi Berry Ice,"I cannot taste or smell the product myself, so I can only provide the flavors listed in its name as given"
531,531,SUB 7daze Reds Iced Apple Berries Iced,"Apple, Berries"
532,532,SUB Shijin Tortoise Blood on ICE,none
533,533,DISP SnowWolf Compak 7500puff 5% Pacific Cooler,none
534,534,DISP RAZ TN9000 5% Cherry Lemon,"Cherry, Lemon"
535,535,SALT 7 Daze Iced Fusion Strawberry Banana Apple Iced,"Strawberry, Banana, Apple, Sweet"
536,536,SALT 7 Daze Iced Fusion Grape Apple Aloe Iced Iced,"Grape, Apple, Aloe, Iced, Salt, Fusion"
537,537,SALT POD Juice Fruity Bears Freeze,"Fruity, Bear, Freeze, Salt"
538,538,SUB Fruitia Apple Kiwi Ice,"Apple, Kiwi, Ice"
539,539,SALT Twist Green No.1,none
540,540,SUB Bad Drip God Nectar,none
541,541,SALT Shijin Tortoise Blood on ICE,none
542,542,SUB Candy King Swedish,"Berry, Sweet, Licorice, Citrus"
543,543,SUB Glas Basix Strawberry Blast,Strawberry
544,544,SALT 7 Daze Fusion Orange Yuzu Tangerine,"Orange, Yuzu, Tangerine, Salt"
545,545,SALT Beard #32 3250,Salt
546,546,SALT Pod Juice Jewel Mint Diamond,none
547,547,SALT Sadboy C Shamrock Cookie,"Sweet, Salty"
548,548,DISP Geek Bar Pulse 5% Tropical Rainbow Blast,The exact flavor profile may vary from person to person as perception of taste is subjective
549,549,SUB Skwezed Green Apple,"Green Apple, Tart, Sweet"
550,550,SALT ML Fruit Monster Strawberry Banana,"Strawberry, Banana, Sweet, Fruity"
551,551,DISP MINT by MNKE Bars 6500 Puffs 5% Spearmint,"Mint, Spearmint"
552,552,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Cool Mint,"Mint, Cool"
553,553,SALT Sadboy J Lemon Cookie,"Salt, Sadboy, J, Lemon, Cookie"
554,554,SUB Bad Drip Dont Care Bear,none
555,555,SUB ML Jam Monster Black Cherry,Cherry
556,556,SUB Naked 100 Strawberry Pom Menthol,"Strawberry, Pom, Menthol"
557,557,SUB Candy King Cola Gummies 100 ML,Cola
558,558,DISP EBCreate BC5000 9. 5000 Puffs 650mAh 4% Triple Berry Ice,"Triple Berry, Ice"
559,559,SALT Skwezed R Peach,"Peach, Sweet, Slightly Tart, Salt"
560,560,SUB Candy King Worms,"Sugar, Chocolate, Worms"
561,561,DISP Lost Mary MO5000 5000 Puffs 5% Ginger Beer,"Ginger, Sweet, Carbonated, Spicy"
562,562,SUB ML Frozen Fruit Monster Strawberry Lime Ice,"Strawberry, Lime"
563,563,SALT Vapetasia Royalty 2,"Tobacco, Sweet, Rich"
564,564,DISP EBCreate BC5000 9. 5000 Puffs 650mAh 4% Mango Peach,"Mango, Peach"
565,565,DISP Lost Mary OS5000 5000 Puffs 5% Light Snow Peppermint,"Mint, Peppermint"
566,566,SALT Cloud Chemist Frosty Science,"Menthol, Cool, Frosted, Science, Chemistry, Salt"
567,567,SALT VGod Purple Bomb,"Berry, Sweet, Sour, Candy"
568,568,DISP Lost Vape Orion Bar 5% 7500 Puffs - Blueberry Raspberry,"Blueberry, Raspberry"
569,569,SALT Twist Mint No.1,The description provided is based on the product name and does not constitute an official flavor profile
570,570,SALT 7 Daze Fusion Pineapple Mango Orange,"Pineapple, Mango, Orange, Salt"
571,571,SALT Juice Head R Strawberry Kiwi,"Strawberry, Kiwi, SALT, Raspberry"
572,572,SUB Juice Head Freeze Raspberry Lemonade,"Raspberry, Lemonade"
573,573,SUB ML Tobacco Monster Bold,"Tobacco, Bold"
574,574,DISP Tyson 2.0 Heavy Weight 7000 Puffs - Watermelon,Watermelon
575,575,SALT Pinup Vapors Beach Betty,none
576,576,SUB Sadboy Keylime Cookie,none
577,577,DISP Elf Bar BC5000 9. 5000 Puffs 650mAh 5% Cranberry Grape,"Cranberry, Grape"
578,578,DISP Lost Mary MO5000 5000 Puffs 5% Tropical Fruit,"Tropical, Fruit"
579,579,SALT Naked 100 Strawberry Pom Menthol,"Strawberry, Pom, Menthol, Salt"
580,580,SUB Kaleidoscopic Sunset / Sunrise,none
581,581,SUB Naked 100 American Patriot,"Tobacco, Sweet, Caramel, Vanilla"
582,582,SUB Nomenon Grapenomenon,Grape
583,583,DISP Lost Mary OS5000 5000 Puffs 5% Blue Cotton Candy,"Sweet, Blue, Cotton, Candy"
584,584,SUB Twist Pink No. 1,"Raspberry, Sweet"
