,Item
838,DISP Cali Boxx 10ML 4000 3% Puffs - Blue Raspberry Kiwi Lemonade
839,DISP Cali Boxx 10ML 4000 3% Puffs - Frozen Blackberry
840,DISP Cali Boxx 10ML 4000 3% Puffs - Mighty Mint
841,DISP Cali Boxx 10ML 4000 5% Puffs - Blue Raspberry Kiwi Lemonade
842,DISP EB Design BC5000 13ML 5000 Puffs 650mAh 5% Crazi Bery
843,DISP EB Design BC5000 13ML 5000 Puffs 650mAh 5% Orange Pear Nectar
844,DISP EB Design BC5000 13ML 5000 Puffs 650mAh 5% Strawberry Pear Orange Ice
845,DISP EB Design BC5000 5% EBD Cranberry Punch
853,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 3% Clear
854,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Beach Day
855,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Berry Mix
856,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Blue Razz Ice
857,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Blue Razz Lemon
858,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Cranberry Grape
859,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Cranberry Punch
860,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Cuba Cigar
861,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Grape Energy
862,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Green Apple
863,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Gumi
864,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Honeydew Pineapple Orange
865,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Kiwi Passion Fruit Guava
866,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Lemon Mint
867,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Malibu
868,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Mango Peach
869,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Mango Peach Apricot
870,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Miami Mint
871,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Mint Tobacco
872,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Mint Tobacco
873,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Passion Fruit Orange Guava
874,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Peach Berry
875,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Peach Ice
876,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Peach Mango Watermelon
877,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Rainbow Candy
878,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Rainbow Cloudz
879,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Sakura Grape
880,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Snoow Grape
881,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Sour Apple
882,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Strawberry Banana
883,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Strawberry Cream
884,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Strawberry Ice
885,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Strawberry Kiwi
886,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Strawberry Mango
887,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Strawberry Pina Colada
888,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Strawberry Watermelon
889,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Strazz
890,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Summertime
891,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Triple Berry Ice
892,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Tropical Rainbow Blast
893,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Watermelon Brzz Ice
894,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Watermelon Bubble Gum
895,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Watermelon Cantaloupe Honeydew
896,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Watermelon Ice
897,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Watermelon Jolly Candy Ice
898,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Watermelon Nana Ice
899,DISP Elf Bar TE6000 10.3ML 6000 Puffs 550mAh 4% Hawaii Punch
900,DISP Esco Bars 6ML 2500 Puffs 5% 1100mAh Blue Razzleberry Pomegranate 
901,DISP Esco Bars 6ML 2500 Puffs 5% 1100mAh Caramel
902,DISP Esco Bars 6ML 2500 Puffs 5% 1100mAh Fuji Apple Ice
903,DISP Esco Bars 6ML 2500 Puffs 5% 1100mAh Kiwi Dragon Berry 
904,DISP Esco Bars 6ML 2500 Puffs 5% 1100mAh Peachy Mango Pineapple
905,DISP Esco Bars 6ML 2500 Puffs 5% 1100mAh Spearmint
906,DISP Esco Bars 6ML 2500 Puffs 5% 1100mAh Strawberry Banana
907,DISP Esco Bars 6ML 2500 Puffs 5% 1100mAh Strawnanners Ice
908,DISP Esco Bars 6ML 2500 Puffs 5% 1100mAh Watermelon Bubble Gum
909,DISP Esco Bars H20 6ML 2500 Puffs 5% 1100mAh Blueberry
910,DISP Esco Bars H20 6ML 2500 Puffs 5% 1100mAh Strawberry 
911,DISP Esco Bars H20 6ML 2500 Puffs 5% 1100mAh Watermelon
912,DISP Flum Float 8ML 3000 Puffs 850mAh 5.0% Clear
913,DISP Flum Float 8ML 3000 Puffs 850mAh 5.0% Cool Mint
914,DISP Flum Float 8ML 3000 Puffs 850mAh 5.0% Cotton Candy
915,DISP Flum Float 8ML 3000 Puffs 850mAh 5.0% Fruity Hawaii
916,DISP Flum Float 8ML 3000 Puffs 850mAh 5.0% Nana Cobbler
917,DISP Flum Float 8ML 3000 Puffs 850mAh 5.0% Rainbow Skittle
918,DISP Flum Float 8ML 3000 Puffs 850mAh 5.0% Red Bang
919,DISP Flum Float 8ML 3000 Puffs 850mAh 5.0% Tropical Delight
920,DISP Fruitia 5ml 5% 1500 Puff 650mAh Apple Kiwi Crush
921,DISP Fruitia 5ml 5% 1500 Puff 650mAh Blood Orange Cactus
922,DISP Fruitia 5ml 5% 1500 Puff 650mAh Blueberry Blast
923,DISP Fruitia 5ml 5% 1500 Puff 650mAh Mango Lychee Ice
924,DISP Fruitia 5ml 5% 1500 Puff 650mAh Pineapple Citrus Twist
925,DISP Fruitia 5ml 5% 1500 Puff 650mAh Smooth Banana Ice
926,DISP Fruitia 5ml 5% 1500 Puff 650mAh Strawberry Apple Watermelon
927,DISP Fruitia 5ml 5% 1500 Puff 650mAh Strawberry Guava Ice
928,DISP Fruitia 5ml 5% 1500 Puff 650mAh Watermelon Peach Pear
929,DISP Fume Vapes Ultra 8ML 2500 Puffs 1000mAh Blue Razz
930,DISP Fume Vapes Ultra 8ML 2500 Puffs 1000mAh Blueberry Mint
931,DISP Fume Vapes Ultra 8ML 2500 Puffs 1000mAh Double Apple
932,DISP Fume Vapes Ultra 8ML 2500 Puffs 1000mAh Fresh Lychee
933,DISP Fume Vapes Ultra 8ML 2500 Puffs 1000mAh Lush Ice
934,DISP Fume Vapes Ultra 8ML 2500 Puffs 1000mAh Peach Ice
935,DISP Fume Vapes Ultra 8ML 2500 Puffs 1000mAh Rainbow Candy
936,DISP Hyde Curve Max 8ml 2500 Puffs Aloe Grape
937,DISP Hyde Curve Max 8ml 2500 Puffs Blue Razz Ice
938,DISP Hyde Curve Max 8ml 2500 Puffs Peach Mango Watermelon
939,DISP Hyde Curve Max 8ml 2500 Puffs Pina Colada
940,DISP Hyde Curve Max 8ml 2500 Puffs Pineapple Ice
941,DISP Hyde Curve Max 8ml 2500 Puffs Sour Apple Ice
942,DISP Hyde Curve Max 8ml 2500 Puffs Strawberries & Cream
943,DISP Hyde Curve Max 8ml 2500 Puffs Strawberry Banana
944,DISP Hyde Curve S 2ml 400-600puffs Banana Ice
945,DISP Hyde Curve S 2ml 400-600puffs Blue Razz
946,DISP Hyde Curve S 2ml 400-600puffs Cherry Lemonade
947,DISP Hyde Curve S 2ml 400-600puffs Cinnamon Banana
948,DISP Hyde Curve S 2ml 400-600puffs Honeydew Punch
949,DISP Hyde Curve S 2ml 400-600puffs Lush Ice
950,DISP Hyde Curve S 2ml 400-600puffs Peach Mango Watermelon
951,DISP Hyde Curve S 2ml 400-600puffs Pineapple Ice
952,DISP Hyde Curve S 2ml 400-600puffs Pineapple Peach Mango
953,DISP Hyde Curve S 2ml 400-600puffs Pink Lemonade
954,DISP Hyde Curve S 2ml 400-600puffs Sparkling Orange
955,DISP Hyde Curve S 2ml 400-600puffs Spearmint
956,DISP Hyde Curve S 2ml 400-600puffs Straw Melon Apple
957,DISP Hyde Curve S 2ml 400-600puffs Strawberry Banana
958,DISP Hyde Curve S 2ml 400-600puffs Wild Golden Apple
959,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Banana Ice 30mg
960,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Blue Razz Ice 30mg
961,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Cherry Peach Lemonade 30mg
962,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Dewberry 30mg
963,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Minty O's 30mg
964,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs OJ 30mg
965,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Peach Mango Watermelon 30mg
966,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Peachy 30mg
967,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Raspberry Watermelon 30mg
968,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Sour Apple Ice 30mg
969,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Strawberry Ice Cream 30mg
970,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Tropical 30mg
971,DISP Hyde I.D. RECHARGE 4500 Puffs Cali Melon
972,DISP Hyde I.D. RECHARGE 4500 Puffs Citrus Orange
973,DISP Hyde I.D. RECHARGE 4500 Puffs Cool Mint
974,DISP Hyde I.D. RECHARGE 4500 Puffs Fuji Apple
975,DISP Hyde I.D. RECHARGE 4500 Puffs Lemon Iced Tea
976,DISP Hyde I.D. RECHARGE 4500 Puffs Peach Mango Watermelon
977,DISP Hyde I.D. RECHARGE 4500 Puffs Rainbow
978,DISP Hyde I.D. RECHARGE 4500 Puffs Strawberry Blackberry
979,DISP Hyde I.D. RECHARGE 4500 Puffs Strawberry Pina Colada
985,DISP Hyde MAG Recharge 4500 Puffs Blue Razz Cloud
986,DISP Hyde MAG Recharge 4500 Puffs Blue Razz Ice
987,DISP Hyde MAG Recharge 4500 Puffs Fresh Vanilla
988,DISP Hyde MAG Recharge 4500 Puffs Fruit Punch
989,DISP Hyde MAG Recharge 4500 Puffs Lemon Ice Cream
990,DISP Hyde MAG Recharge 4500 Puffs Mandarin Lime
991,DISP Hyde MAG Recharge 4500 Puffs Mango Peach Apricot
992,DISP Hyde MAG Recharge 4500 Puffs Peach
993,DISP Hyde MAG Recharge 4500 Puffs Peach Ice Cream
994,DISP Hyde MAG Recharge 4500 Puffs Peach Lemon
995,DISP Hyde MAG Recharge 4500 Puffs Philippine Mango
996,DISP Hyde MAG Recharge 4500 Puffs Pineapple Banana Cantaloupe
997,DISP Hyde MAG Recharge 4500 Puffs Rainbow
998,DISP Hyde MAG Recharge 4500 Puffs Raspberry Watermelon
999,DISP Hyde MAG Recharge 4500 Puffs Sour Apple Ice
1000,DISP Hyde MAG Recharge 4500 Puffs Strawberry Ice
1001,DISP Hyde MAG Recharge 4500 Puffs Strawberry Ice Cream
1002,DISP Hyde MAG Recharge 4500 Puffs Strawberry Lemon Lime
1003,DISP Hyde MAG Recharge 4500 Puffs Tropical
1004,DISP Hyde MAG Recharge 4500 Puffs Watermelon Ice Cream
1021,DISP Hyde One 2500puffs Aloe Grape
1022,DISP Hyde Rebel Recharge 4500puffs Aloe Grape
1023,DISP Hyde Rebel Recharge 4500puffs Blue Razz
1024,DISP Hyde Rebel Recharge 4500puffs Blue Razz Ice
1025,DISP Hyde Rebel Recharge 4500puffs Cola Ice
1026,DISP Hyde Rebel Recharge 4500puffs Energize
1027,DISP Hyde Rebel Recharge 4500puffs Lush Ice
1028,DISP Hyde Rebel Recharge 4500puffs Peach Mango Watermelon
1029,DISP Hyde Rebel Recharge 4500puffs Power
1030,DISP Hyde Rebel Recharge 4500puffs Rainbow
1031,DISP Hyde Rebel Recharge 4500puffs Raspberry Watermelon
1032,DISP Hyde Rebel Recharge 4500puffs Sour Apple Ice
1033,DISP Hyde Rebel Recharge 4500puffs Spearmint
1034,DISP Hyde Rebel Recharge 4500puffs Strawberries & Cream
1035,DISP Hyde Rebel Recharge 4500puffs Strawberry Banana
1036,DISP Hyde Rebel Recharge 4500puffs Strawberry Kiwi
1037,DISP Hyde Rebel Recharge 4500puffs Tropical
1038,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Bananas & Cream
1039,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Blue Razz Cloudz
1040,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Cola Ice
1041,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Dragonfruit Lemonade
1042,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Loops
1043,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Minty O's
1044,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Morning Brew
1045,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Peach Mango Watermelon
1046,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Pina Colada
1047,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Power
1048,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Rainbow
1049,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Strawberry Banana
1050,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Strawberry Kiwi
1051,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Summer Luv
1064,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Aloe Grape
1065,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Banana Ice
1066,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Blue Razz
1067,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Cinnamon Banana
1068,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Honeydew Punch
1069,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Lemon Crumble
1070,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Lush Ice
1071,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Pineapple Peach Mango
1072,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Pink Lemonade
1073,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Spearmint
1074,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Strawberries And Cream
1075,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Strawberry Banana
1076,DISP Juice Head Bars 8ML 5000 Puffs 650mAh 5% Peach Pear
1077,DISP Juice Head Bars 8ML 5000 Puffs 650mAh 5% Peach Pear Freeze
1078,DISP Juice Head Bars 8ML 5000 Puffs 650mAh 5% Pineapple Grape Freeze
1079,DISP Juice Head Bars 8ML 5000 Puffs 650mAh 5% Pineapple Grapefruit
1080,DISP Juice Head Bars 8ML 5000 Puffs 650mAh 5% Watermelon Lime 
1081,DISP Juice Head Bars 8ML 5000 Puffs 650mAh 5% Watermelon Lime Freeze
1082,DISP Jus Bar 5% 8ml 3000 puffs Blackberry Jam
1083,DISP Jus Bar 5% 8ml 3000 puffs Blue Raspberry Cotton Candy
1084,DISP Jus Bar 5% 8ml 3000 puffs Burbon Whiskey Tobacco
1085,DISP Jus Bar 5% 8ml 3000 puffs Dragon Fruit
1086,DISP Jus Bar 5% 8ml 3000 puffs Key Lime Cookie
1087,DISP Jus Bar 5% 8ml 3000 puffs Peach Mango
1088,DISP Jus Bar 5% 8ml 3000 puffs Strawberry Milkshake
1089,DISP KROS 3 Unlimited 3% 14ML 6000 Puffs - Spearmint
1090,DISP KROS 3 Unlimited 3% 14ML 6000 Puffs - Tropical Rainbow Twist
1091,DISP KROS 3 Unlimited 3% 14ML 6000 Puffs - Vanilla Wafer
1092,DISP KROS 3 Unlimited 3% 14ML 6000 Puffs - Watermelon Bubblegum
1093,DISP KROS 3 Unlimited 5% 14ML 6000 Puffs - Spearmint
1094,DISP KROS 3 Unlimited 5% 14ML 6000 Puffs - Tropical Rainbow Twist
1095,DISP KROS 3 Unlimited 5% 14ML 6000 Puffs - Vanilla Wafer
1096,DISP KROS 3 Unlimited 5% 14ML 6000 Puffs - Watermelon Bubblegum
1097,DISP Lost Mary MO5000 Disposable 5% Black Mint
1098,DISP Lost Mary MO5000 Disposable 5% Black Strawnana
1099,DISP Lost Mary MO5000 Disposable 5% Blue Trio
1100,DISP Lost Mary MO5000 Disposable 5% Blueberry Raspberry Lemon
1101,DISP Lost Mary MO5000 Disposable 5% Cherry Lemon
1102,DISP Lost Mary MO5000 Disposable 5% Citrus Sunrise
1103,DISP Lost Mary MO5000 Disposable 5% Energize
1104,DISP Lost Mary MO5000 Disposable 5% Ginger Beer
1105,DISP Lost Mary MO5000 Disposable 5% Grape Jelly
1106,DISP Lost Mary MO5000 Disposable 5% Kiwi Passion Fruit Guava
1107,DISP Lost Mary MO5000 Disposable 5% Lemon Sparkling Wine
1108,DISP Lost Mary MO5000 Disposable 5% Mango Peach
1109,DISP Lost Mary MO5000 Disposable 5% Mango Peach Watermelon
1110,DISP Lost Mary MO5000 Disposable 5% Pineapple Apple Pear
1111,DISP Lost Mary MO5000 Disposable 5% Raspberry Lemonade
1112,DISP Lost Mary MO5000 Disposable 5% Watermelon Cherry
1113,DISP Lost Mary MO5000 Disposable 5% Watermelon Ice
1114,DISP Lost Mary MO5000 Disposable 5% Yummy
1115,DISP Lost Mary OS5000 Disposable 5% Black Mint
