,Item,Profile
0,DISP Yaya Go Tobacco Free Nicotine 1600 Puffs By TVL Banana Bread,"Tobacco, Free, Nicotine, Banana, Bread"
1,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Frozen Banana,Banana
2,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Cherry Berry,"Cherry, Berry"
3,DISP Monster Bars 7ML 3500  Puffs 1000mAh Butterscotch Custard,"Butterscotch, Custard"
4,DISP Metaku Spongie 12ML 7500 Puffs - Strawberry Peach Mint,"Strawberry, Peach, Mint"
5,DISP So Soul Bar Y6000 14ML 6000 Puffs 650mAh - Sakura Apple Grape,"Sakura, Apple, Grape"
6,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Orange Soda,"Orange, Citrus"
7,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Pineapple Lemonade,"Citrusy, Fruity"
8,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Mango Peach Apricot,"Mango, Peach, Apricot"
9,DISP Hyde Rebel Recharge 4500puffs Sour Apple Ice,"Sour, Apple, Ice"
10,DISP Yogi Bars 5% 8000 - Vanilla Tobacco,"Vanilla, Tobacco"
11,DISP Hyde MAG Recharge 4500 Puffs Sour Apple Ice,"Sour, Apple, Ice"
12,DISP Flum Float 8ML 3000 Puffs 850mAh 5.0% Cool Mint,Cool
13,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Mango Peach,"Mango, Peach"
14,DISP Hyde Curve Max 8ml 2500 Puffs Pina Colada,"Pina, Colada"
15,DISP Hyde Rebel Recharge 4500puffs Rainbow,Rainbow
16,DISP KROS 3 Unlimited 3% 14ML 6000 Puffs - Vanilla Wafer,"Vanilla, Wafer"
17,DISP SO SOUL SLIMZ BC 5000 PRO 11ML 5000 Puffs - Strawberry Orange Mint,"Strawberry, Orange, Mint"
18,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Minty O's 30mg,"Minty, O's"
19,DISP Metaku Spongie 12ML 7500 Puffs - Strawberry Watermelon Bubblegum,"Strawberry, Watermelon, Bubblegum"
20,DISP Lost Mary OS5000 Disposable 5% Strawberry Pina Colada,"Strawberry, Pineapple"
21,DISP Hyde Rebel Recharge 4500puffs Aloe Grape,"Aloe, Grape"
22,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Snoow Grape,"Grape, Citrus"
23,DISP RAZ CA6000 10ML 5% Cactus Jack,"Cactus, Jack"
24,DISP Fume Vapes Ultra 8ML 2500 Puffs 1000mAh Peach Ice,"Peach, Ice"
25,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Triple Berries,"Berry, fruitful"
26,DISP Monster Mini 3ML 800 Puffs 5% Blue Raspberry Ice,"Blueberry, Raspberry"
27,DISP Elf Bar TE6000 10.3ML 6000 Puffs 550mAh 4% Hawaii Punch,"Hawaii Punch, Tropical"
28,DISP Lost Mary OS5000 Disposable 5% Strawberry Mango,"Strawberry, Mango"
29,DISP Hyde I.D. RECHARGE 4500 Puffs Cool Mint,"Refreshing, Crisp, Minty"
30,DISP Flum Float 8ML 3000 Puffs 850mAh 5.0% Fruity Hawaii,"Fruity, Hawaii"
31,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 3% Clear,"BC5000, 13ML, 5000 Puffs, 650mAh, 3%"
32,DISP Monster Bars 7ML 3500 Puffs 1000mAh Strawberry Lemonade,"Strawberry, Lemonade"
33,DISP Monster Bars The Milk 7ML 3500 1000mAh Puffs 5% Fruity,Fruity
34,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Rainbow Candy,"Rainbow, Candy"
35,DISP Nicless Next 0% NICOTINE FREE - Cool Mint,"Cool, Mint"
36,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Aloe Grape,"Grape, Aloe"
37,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Blackcurrant Mixed Berry,"Berry, fruity"
38,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Clear,"BC5000, Elf Bar"
39,DISP Suorin Air Bar MAX 6.5ml 2000puffs Pudding,Pudding
40,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Dewberry 30mg,"Edge, Rave, Recharge"
41,DISP Monster Bars 7ML 3500  Puffs 1000mAh Strawberry Jam,"Strawberry, Jam"
42,DISP Fume Vapes Ultra 8ML 2500 Puffs 1000mAh Fresh Lychee,"Lychee, Fresh"
43,DISP SnowWolf Compak 7500puff 17ML 5% Pacific Cooler,"Cool, Crisp"
44,DISP Suorin Air Bar MAX 6.5ml 2000puffs Guava Shake,"Guava, Shake"
45,DISP Hyde Curve Max 8ml 2500 Puffs Strawberry Banana,"Strawberry, Banana"
46,DISP Hyde I.D. RECHARGE 4500 Puffs Rainbow,Rainbow
47,DISP Hyde MAG Recharge 4500 Puffs Watermelon Ice Cream,"Watermelon, Ice Cream"
48,DISP SnowWolf Compak 7500puff 17ML 5% Strawberry Banana Ice,"Strawberry, Banana"
49,DISP Lost Mary OS5000 Disposable 5% Watermelon,Watermelon
50,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Rainbow Drop,"Rainbow, Fruity"
51,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Cranberry Grape,"Cranberry, Grape"
52,DISP Hyde MAG Recharge 4500 Puffs Peach Lemon,"Peach, Lemon"
53,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Frozen Mango,Mango
54,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Peach Berry,"Berry, fruity"
55,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Summer Luv,"Summer, Luv"
56,DISP Lost Mary OS5000 Disposable 5% Blue Cotton Candy,"Blue, Sweet, Fluffy"
57,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Frozen Peach,Peach
58,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Power,"Retro, Fruity, Sweet"
59,DISP Fume Vapes Ultra 8ML 2500 Puffs 1000mAh Rainbow Candy,"Rainbow, Candy"
60,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Cuba Cigar,"BC5000, 13ML, Puffs, 650mAh, Cuba"
61,DISP Lost Mary MO5000 Disposable 5% Pineapple Apple Pear,"Pineapple, Apple, Pear"
62,DISP Suorin Air Bar MAX 6.5ml 2000puffs Blueberry Lemon Ice,"Berry, Citrus"
63,DISP Suorin Air Bar MAX 6.5ml 2000puffs Cranberry Grape,"Grape, Cranberry"
64,DISP Hyde Curve S 2ml 400-600puffs Straw Melon Apple,"Melon, Apple"
65,DISP Suorin Air Bar MAX 6.5ml 2000puffs 0% Cool Mint,Cool
66,DISP Esco Bars 6ML 2500 Puffs 5% 1100mAh Strawnanners Ice,"Strawnanners, Ice"
67,DISP Suorin Air Bar MAX 6.5ml 2000puffs Blueberry Raspberry,"Blueberry, Raspberry"
68,DISP Hyde Curve S 2ml 400-600puffs Spearmint,Spearmint
69,DISP KROS 3 Unlimited 5% 14ML 6000 Puffs - Watermelon Bubblegum,"Watermelon, Bubblegum"
70,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Sour Apple Ice 30mg,"Sour, Apple"
71,DISP KROS 3 Unlimited 5% 14ML 6000 Puffs - Vanilla Wafer,"Vanilla, Wafer"
72,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Strawberry Banana,"Strawberry, Banana"
73,DISP Hyde Curve Max 8ml 2500 Puffs Aloe Grape,"Aloe, Grape"
74,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Peach Ice,"Peach, Ice"
75,DISP SO SOUL SLIMZ BC 5000 PRO 11ML 5000 Puffs - Pear Strawberry Raspberry Ice,"Pear, Strawberry, Raspberry"
76,DISP Fume Vapes Ultra 8ML 2500 Puffs 1000mAh Double Apple,"Apple, Pear"
77,DISP Hyde Curve S 2ml 400-600puffs Pineapple Peach Mango,"Mango, Peach, Pineapple"
78,DISP Suorin Air Bar MAX 6.5ml 2000puffs Kiwi Berry Ice,"Kiwi, Berry, Ice"
79,DISP Hyde MAG Recharge 4500 Puffs Mandarin Lime,"Citrus, Bright"
80,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Banana Ice,"Banana, Ice"
81,DISP Nicless Next 0% NICOTINE FREE - Spearmint,"Minty, refreshing"
82,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Blue Razz Ice 30mg,"Blueberry, Mint, Ice"
83,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Rainbow,"Rainbow, Retro, RAVE"
84,DISP Metaku Spongie 12ML 7500 Puffs - Cherry Lemon,"Cherry, Lemon"
85,DISP Monster Bars 7ML 3500  Puffs 1000mAh Mixed Berry ICE,"Berry, Fruity"
86,DISP Hyde Rebel Recharge 4500puffs Raspberry Watermelon,"Raspberry, Watermelon"
87,DISP Esco Bars H20 6ML 2500 Puffs 5% 1100mAh Watermelon,"Watermelon, Lemon, Mint"
88,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Blue Razz Lemon,"Blueberry, Lemon, Raspberry"
89,DISP Hyde Rebel Recharge 4500puffs Cola Ice,"Cola, Ice"
90,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Malibu,Malibu
91,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Banana Cake,"Banana, Cake"
92,DISP Suorin Air Bar MAX 6.5ml 2000puffs 0% Blueberry Raspberry,"Berry, fruit"
93,DISP Nicless Next 0% NICOTINE FREE - Blue Razz Lemonade,"Blue, Razz, Lemonade"
94,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Cranberry Punch,Cranberry
95,DISP Monster Bars 7ML 3500  Puffs 1000mAh Passionfruit Orange Guava ICE,"Orange, Guava, Passionfruit"
96,DISP Hyde MAG Recharge 4500 Puffs Raspberry Watermelon,"Raspberry, Watermelon"
97,DISP Monster Bars 7ML 3500  Puffs 1000mAh Passionfruit Orange Guava,"Orange, Guava, Passionfruit"
98,DISP Pachamama 8ML 3000 Puffs 1200mAh Blue Razz Ice,"Blue, Razz, Ice"
99,DISP Juice Head Bars 8ML 5000 Puffs 650mAh 5% Peach Pear,"Peach, Pear"
100,DISP Pachamama 8ML 3000 Puffs 1200mAh Pink Lemonade,"Pink, Lemonade"
101,DISP SO SOUL SLIMZ BC 5000 PRO 11ML 5000 Puffs - Strawberry Watermelon Bubble Gum,"Strawberry, Watermelon, Bubble G"
102,DISP Suorin Air Bar MAX 6.5ml 2000puffs Banana Shake,"Banana, Cream"
103,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Blue Razz Ice,"Blue, Raspberry, Ice"
104,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Strawberry Banana,"Strawberry, Banana"
105,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Blueberry Pie,"Blueberry, Pie"
106,DISP Juice Head Bars 8ML 5000 Puffs 650mAh 5% Pineapple Grape Freeze,"Pineapple, Grape, Freeze"
107,DISP Hyde MAG Recharge 4500 Puffs Mango Peach Apricot,"Mango, Peach, Apricot"
108,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Watermelon Bubble Gum,"Watermelon, Bubble Gum"
109,DISP Hyde Curve S 2ml 400-600puffs Banana Ice,"Banana, Ice"
110,DISP Hyde MAG Recharge 4500 Puffs Peach Ice Cream,Peach
111,DISP Lost Mary MO5000 Disposable 5% Blue Trio,"Blueberry, Mint, Lemon"
112,DISP Suorin Air Bar MAX 6.5ml 2000puffs Cool Mint,"Cool, Mint"
113,DISP Hyde Rebel Recharge 4500puffs Blue Razz,"Blueberry, Berry, Citrus"
114,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Strawberry Kiwi,"Strawberry, Kiwi"
115,DISP Monster Bars 7ML 3500  Puffs 1000mAh Blueberry Raspberry Lemon ICE,"Blueberry, Raspberry, Lemon"
116,DISP Lost Mary MO5000 Disposable 5% Watermelon Ice,Watermelon
117,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Watermelon Mango,"Watermelon, Mango"
118,DISP Fruitia 5ml 5% 1500 Puff 650mAh Blood Orange Cactus,"Orange, Citrus"
119,DISP ML Monster Bars MAX 6000 Black Cherry Jam,"Black Cherry, Jam"
120,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Apple Cotton Candy,"Apple, Cotton Candy"
121,DISP Jus Bar 5% 8ml 3000 puffs Peach Mango,"Peach, Mango"
122,DISP ML Monster Bars MAX 6000 Strawberry Banana,"Strawberry, Banana"
123,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Blueberry Raspberry,"Blueberry, Raspberry"
124,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Beach Day,"Beach, Day"
125,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Strawberry Ice,"Berry, Sweet, Fruity"
126,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Watermelon Ice,"Watermelon, Ice"
127,DISP Hyde MAG Recharge 4500 Puffs Rainbow,Rainbow
128,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Tobacco,Tobacco
129,DISP Suorin Air Bar MAX 6.5ml 2000puffs 0% Energy Drinks,"I apologize, but the product you have described is not a valid or coherent request. The term ""DISP Suorin Air Bar MAX 6.5ml 2000puffs 0% Energy Drinks"" does not make sense as it appears to be a combination of"
130,DISP Jus Bar 5% 8ml 3000 puffs Burbon Whiskey Tobacco,"Burnt, Rich, Smoky"
131,DISP Hyde MAG Recharge 4500 Puffs Fruit Punch,"Fruity, sweet, tangy"
132,DISP Hyde Rebel Recharge 4500puffs Energize,"Energizing, Invigorating"
133,DISP Cali Boxx 10ML 4000 3% Puffs - Mighty Mint,Mint
134,DISP Lost Mary MO5000 Disposable 5% Mango Peach Watermelon,"Mango, Peach, Watermelon"
135,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Peach Mango Watermelon,"Peach, Mango, Watermelon"
136,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Dragonfruit Lemonade,Lemonade
137,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Aloe Grape,"Grape, Aloe"
138,DISP Monster Bars 7ML 3% 3500  Puffs 1000mAh Mixed Berry Ice,"Berry, Minty"
139,DISP Lost Mary OS5000 Disposable 5% Strawberry Sundae,"Strawberry, Vanilla, Cream"
140,DISP Monster Bars 7ML 3500 Puffs 1000mAh Vanilla Custard,"Vanilla, Custard"
141,DISP Esco Bars H20 6ML 2500 Puffs 5% 1100mAh Strawberry ,"Strawberry, Citrus"
142,DISP Flum Float 8ML 3000 Puffs 850mAh 5.0% Clear,Clear
143,DISP Monster Bars 7ML 0% 3500  Puffs 1000mAh Vanilla Custard,"Creamy, rich, sweet, vanilla"
144,DISP Lost Mary MO5000 Disposable 5% Blueberry Raspberry Lemon,"Blueberry, Raspberry, Lemon"
145,DISP Monster Bars 7ML 3500  Puffs 1000mAh Banana Custard,"Banana, Custard"
146,DISP Yogi Bars 5% 8000 - Peanut Butter,"Peanutty, rich, nutty"
147,DISP Lost Mary MO5000 Disposable 5% Tropical Fruit ,"Tropical, Fruity"
148,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Morning Brew,"Retro, RAVE, Recharge"
149,DISP Monster Bars 7ML 3500  Puffs 1000mAh Mango Peach Guava,"Mango, Peach, Guava"
150,DISP Monster Bars 7ML 3500 Puffs 1000mAh Strawberry Banana,"Strawberry, Banana"
151,DISP Hyde MAG Recharge 4500 Puffs Strawberry Lemon Lime,"Strawberry, lemon, lime"
152,DISP ML Monster Bars MAX 6000 Vanilla Custard,"Vanilla, Custard"
153,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Banana Ice,"Banana, Ice"
154,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Menthol,Menthol
155,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Strawberry Kiwi,"Strawberry, Kiwi"
156,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Kiwi Passion Fruit Guava,"Kiwi, Passionfruit, Guava"
157,DISP Lost Mary MO5000 Disposable 5% Raspberry Lemonade,"Raspberry, Lemonade"
158,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Frozen Blueberry,"Blueberry, Frozen"
159,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Passion Fruit Orange Guava,"Orange, Guava, Passionfruit"
160,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Peach Mango Watermelon,"Peach, Mango, Watermelon"
161,DISP Hyde Rebel Recharge 4500puffs Strawberry Kiwi,"Strawberry, Kiwi"
162,DISP Monster Bars 7ML 3% 3500  Puffs 1000mAh Vanilla Custard,"Vanilla, Custard"
163,DISP SnowWolf Compak 7500puff 17ML 5% Strawberry Kiwi,"Strawberry, Kiwi"
164,DISP SnowWolf Compak 7500puff 17ML 5% Strawberry Melon Ice,"Strawberry, Melon, Ice"
165,DISP Hyde MAG Recharge 4500 Puffs Blue Razz Cloud,"Blueberry, Citrus, Fruity"
166,DISP Metaku Spongie 12ML 7500 Puffs - Gum Mint,Mint
167,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Blue Razz,"Blueberry, Raspberry"
168,DISP Pachamama 8ML 3000 Puffs 1200mAh Watermelon Ice,"Watermelon, Ice"
169,DISP Hyde I.D. RECHARGE 4500 Puffs Lemon Iced Tea,"Lemon, Iced Tea"
170,DISP Hyde I.D. RECHARGE 4500 Puffs Citrus Orange,"Orange, Citrus"
171,DISP Lost Mary OS5000 Disposable 5% Juicy Peach,"Juicy, peach"
172,DISP Hyde Curve S 2ml 400-600puffs Cherry Lemonade,Lemonade
173,DISP RAZ CA6000 10ML 5% Peach Pear,"Peach, Pear"
174,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Peach Watermelon,"Peach, Watermelon"
175,DISP Esco Bars 6ML 2500 Puffs 5% 1100mAh Spearmint,"Minty, Spearmint"
176,DISP Pachamama 8ML 3000 Puffs 1200mAh White Grape,Grape
177,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Sour Apple,"Apple, Mint, Fruity"
178,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Frozen Strawberry,Strawberry
179,DISP Monster Mini 3ML 800 Puffs 5% Mixed Berries,"Mixed Berries, Berry"
180,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Strawberry Ice Cream 30mg,"Strawberry, Ice Cream"
181,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Peach Mango Watermelon,"Peach, Mango, Watermelon"
182,DISP Nicless Next 0% NICOTINE FREE - Raspberry Lemonade,"Raspberry, Lemonade"
183,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Strazz,"Fruity, sweet, smooth"
184,DISP Hyde MAG Recharge 4500 Puffs Tropical,"Tropical, Fruity"
185,DISP Hyde One 2500puffs Aloe Grape,"Grape, Aloe"
186,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Orange Ice,"Orange, Ice"
187,DISP SO SOUL SLIMZ BC 5000 PRO 11ML 5000 Puffs - Blue Razz Ice,"Blueberry, Raspberry"
188,DISP SO SOUL SLIMZ BC 5000 PRO 11ML 5000 Puffs - Mango Peach Ice,"Mango, Peach"
189,DISP Hyde Curve S 2ml 400-600puffs Blue Razz,"Blueberry, Raspberry"
190,DISP Hyde I.D. RECHARGE 4500 Puffs Fuji Apple,"Apple, Fuji"
191,DISP Hyde MAG Recharge 4500 Puffs Fresh Vanilla,"Vanilla, fresh"
192,DISP Fruitia 5ml 5% 1500 Puff 650mAh Blueberry Blast,"Blueberry, Berry"
193,DISP Esco Bars 6ML 2500 Puffs 5% 1100mAh Strawberry Banana,"Strawberry, Banana"
194,DISP Lost Mary MO5000 Disposable 5% Cherry Lemon,"Cherry, Lemon"
195,DISP EB Design BC5000 5% EBD Cranberry Punch,"Cranberry, Pineapple, Orange"
196,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Pina Colada,"Pina, Colada"
197,DISP Monster Bars 7ML 3500  Puffs 1000mAh PB & Grape,"Grape, Berry"
198,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Honeydew Punch,"Honeydew, Punch"
199,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Cinnamon Banana,"Cinnamon, Banana"
200,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Mint Tobacco,"Mint, Tobacco"
201,DISP SnowWolf Compak 7500puff 17ML 5% Triple Berry Ice,"Berry, fruity, sweet"
202,DISP SO SOUL SLIMZ BC 5000 PRO 11ML 5000 Puffs - White Gummy Bear,"White Chocolate, Gummy"
203,DISP Hyde MAG Recharge 4500 Puffs Strawberry Ice,"Strawberry, Ice"
204,DISP EB Design BC5000 13ML 5000 Puffs 650mAh 5% Orange Pear Nectar,"Orange, Pear, Nectar"
205,DISP Hyde Curve S 2ml 400-600puffs Wild Golden Apple,"Golden, Apple"
206,DISP Yogi Bars 5% 8000 - Original,"Nutty, rich, fruity"
207,DISP Hyde Curve S 2ml 400-600puffs Cinnamon Banana,"Cinnamon, Banana"
208,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs OJ 30mg,"Edge, RAVE, Recharge"
209,DISP Monster Mini 3ML 800 Puffs 5% Coconut Melon,"Melon, Coconut"
210,DISP Lost Mary OS5000 Disposable 5% Blueberry Ice,"Blueberry, Ice"
211,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Pink Lemonade,"Refreshing, Citrusy"
212,DISP EB Design BC5000 13ML 5000 Puffs 650mAh 5% Strawlemon Ice,"Strawberry, Lemon, Ice"
213,DISP Suorin Air Bar MAX 6.5ml 2000puffs 0% Blueberry Lemon Ice,"Lemon, Blueberry"
214,DISP Jus Bar 5% 8ml 3000 puffs Dragon Fruit,Dragon Fruit
215,DISP Fruitia 5ml 5% 1500 Puff 650mAh Strawberry Apple Watermelon,"Strawberry, Apple, Watermelon"
216,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Spearmint,"Mint, Spearmint"
217,DISP Monster Bars 7ML 3500  Puffs 1000mAh Strawberry Kiwi Pomegranate ICE,"Strawberry, Kiwi, Pomegranate"
218,DISP Hyde Curve Max 8ml 2500 Puffs Blue Razz Ice,"Blueberry, Raspberry, Mint"
219,DISP Lost Mary OS5000 Disposable 5% Watermelon Lemon,"Watermelon, Lemon"
220,DISP Fume Vapes Ultra 8ML 2500 Puffs 1000mAh Blue Razz,"Blueberry, Raspberry"
221,DISP RAZ CA6000 10ML 5% Lemon Lime,"Lemon, Lime"
222,DISP KROS 3 Unlimited 5% 14ML 6000 Puffs - Spearmint,Minty
223,DISP KROS 3 Unlimited 3% 14ML 6000 Puffs - Spearmint,"Spearmint, Minty"
224,DISP Monster Bars 7ML 0% 3500  Puffs 1000mAh Mixed Berry Ice,"Berry, Minty, Fruity"
225,DISP Flum Float 8ML 3000 Puffs 850mAh 5.0% Red Bang,"Red Bengal, Fruity"
226,DISP Lost Mary MO5000 Disposable 5% Ginger Beer,"Ginger, Citrus"
227,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Watermelon Bubble Gum,"Watermelon, Bubble Gum"
228,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Strawberry Watermelon,"Strawberry, Watermelon"
229,DISP Lost Mary MO5000 Disposable 5% Mango Peach,"Mango, Peach"
230,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Chicago Cocktail,"Chocolate, Caramel, Vanilla"
231,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Summertime,Summertime
232,DISP SnowWolf Compak 7500puff 17ML 5% Blue Razz Ice,"Blueberry, Raspberry, Menthol"
233,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Pink Lemonade,Pink Lemonade
234,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Spearmint,Mint
235,DISP Yogi Bars 5% 8000 - Apple Cinnamon,"Apple, Cinnamon"
236,Elf VPR 7000 Ultra Watermelon Bubblegum,"Watermelon, Bubblegum"
237,DISP Monster Bars 7ML 3500  Puffs 1000mAh Blackberry Jam,Berry
238,DISP Suorin Air Bar MAX 6.5ml 2000puffs Melon Shake,"Melon, Shake"
239,DISP ML Monster Bars MAX 6000 Mint Tobacco,"Mint, Tobacco"
240,DISP Esco Bars 6ML 2500 Puffs 5% 1100mAh Watermelon Bubble Gum,"Watermelon, Bubble Gum"
241,DISP Pachamama 8ML 3000 Puffs 1200mAh Strawberry Kiwi,"Strawberry, Kiwi"
242,DISP Esco Bars 6ML 2500 Puffs 5% 1100mAh Peachy Mango Pineapple,"Peachy, Mango, Pineapple"
243,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Lemon Mint,"Lemon, Mint"
244,DISP Monster Mini 3ML 800 Puffs 5% Blueberry Bubblegum Ice,"Berry, sweet, fruity"
245,DISP Hyde Curve Max 8ml 2500 Puffs Peach Mango Watermelon,"Peach, Mango, Watermelon"
246,DISP Lost Mary MO5000 Disposable 5% Citrus Sunrise,"Citrus, Sunrise"
247,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Strawberry Watermelon,"Strawberry, Watermelon"
248,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Strawberry Pina Colada,"Strawberry, Pineapple"
249,DISP RAZ CA6000 10ML 5% Tobacco,Tobacco
250,Elf VPR 7000 Ultra Peach Ice,"Peach, Ice"
251,DISP Lost Mary OS5000 Disposable 5% Misc.,"Mint, Fruit"
252,DISP Jus Bar 5% 8ml 3000 puffs Blue Raspberry Cotton Candy,"Blueberry, Cotton Candy"
253,DISP Hyde I.D. RECHARGE 4500 Puffs Peach Mango Watermelon,"Peach, Mango, Watermelon"
254,DISP Lost Mary MO5000 Disposable 5% Energize,"Energizing, Invigorating, Fresh"
255,DISP Hyde I.D. RECHARGE 4500 Puffs Cali Melon,"Melon, Citrus"
256,DISP Monster Bars 7ML 0% 3500  Puffs 1000mAh Mint,"Refreshing, Invigorating, Minty"
257,DISP Hyde MAG Recharge 4500 Puffs Philippine Mango,Mango
258,DISP Nicless Next 0% NICOTINE FREE - Watermelon Mango,"Watermelon, Mango"
259,DISP So Soul Bar Y6000 14ML 6000 Puffs 650mAh - Pink Strawberry Cream,"Strawberry, Cream"
260,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Green Apple,"Green Apple, Mint"
